,time,amount,shares
0,2017-08-31 09:53:22.220339,"<span class=""_191t _50f5"">Mark has raised $358,332 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,454 shares</a>"
1,2017-08-31 09:54:45.149559,"<span class=""_191t _50f5"">Mark has raised $358,332 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,454 shares</a>"
2,2017-08-31 09:56:40.721798,"<span class=""_191t _50f5"">Mark has raised $358,332 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,454 shares</a>"
3,2017-08-31 09:58:18.686882,"<span class=""_191t _50f5"">Mark has raised $358,382 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,456 shares</a>"
4,2017-08-31 09:59:49.945506,"<span class=""_191t _50f5"">Mark has raised $358,407 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,456 shares</a>"
5,2017-08-31 10:01:23.370801,"<span class=""_191t _50f5"">Mark has raised $358,427 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,456 shares</a>"
6,2017-08-31 10:03:00.599455,"<span class=""_191t _50f5"">Mark has raised $358,447 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,456 shares</a>"
7,2017-08-31 10:04:50.970518,"<span class=""_191t _50f5"">Mark has raised $358,447 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,457 shares</a>"
8,2017-08-31 10:06:13.649355,"<span class=""_191t _50f5"">Mark has raised $358,447 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,457 shares</a>"
9,2017-08-31 10:08:01.829436,"<span class=""_191t _50f5"">Mark has raised $358,497 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,459 shares</a>"
10,2017-08-31 10:09:36.032762,"<span class=""_191t _50f5"">Mark has raised $358,497 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,459 shares</a>"
